Date/Time,Unit,Value,a
1/7/2016 14:55,C,28,68
1/7/2016 15:55,C,24,682
1/7/2016 16:55,C,25,182
1/7/2016 17:55,C,25,182
1/7/2016 18:55,C,25,182
1/7/2016 19:55,C,25,182
1/7/2016 20:55,C,24,682
1/7/2016 21:55,C,24,682
1/7/2016 22:55,C,25,182
1/7/2016 23:55,C,25,182
2/7/2016 0:55,C,25,182
2/7/2016 1:55,C,24,682
2/7/2016 2:55,C,24,181
2/7/2016 3:55,C,23,681
2/7/2016 4:55,C,23,181
2/7/2016 5:55,C,22,68
2/7/2016 6:55,C,22,18
2/7/2016 7:55,C,22,18
2/7/2016 8:55,C,21,68
2/7/2016 9:55,C,21,68
2/7/2016 10:55,C,21,68
2/7/2016 11:55,C,23,181
2/7/2016 12:55,C,24,682
2/7/2016 13:55,C,25,682
2/7/2016 14:55,C,26,682
2/7/2016 15:55,C,27,681
2/7/2016 16:55,C,28,68
2/7/2016 17:55,C,29,68
2/7/2016 18:55,C,30,678
2/7/2016 19:55,C,31,677
2/7/2016 20:55,C,28,68
2/7/2016 21:55,C,26,182
2/7/2016 22:55,C,25,182
2/7/2016 23:55,C,25,682
3/7/2016 0:55,C,25,682
3/7/2016 1:55,C,25,182
3/7/2016 2:55,C,24,682
3/7/2016 3:55,C,24,181
3/7/2016 4:55,C,23,681
3/7/2016 5:55,C,22,68
3/7/2016 6:55,C,22,18
3/7/2016 7:55,C,21,68
3/7/2016 8:55,C,21,179
3/7/2016 9:55,C,21,179
3/7/2016 10:55,C,21,68
3/7/2016 11:55,C,22,68
3/7/2016 12:55,C,24,181
3/7/2016 13:55,C,25,682
3/7/2016 14:55,C,25,682
3/7/2016 15:55,C,26,682
3/7/2016 16:55,C,26,182
3/7/2016 17:55,C,25,682
3/7/2016 18:55,C,25,682
3/7/2016 19:55,C,26,682
3/7/2016 20:55,C,25,682
3/7/2016 21:55,C,24,682
3/7/2016 22:55,C,25,182
3/7/2016 23:55,C,25,182
4/7/2016 0:55,C,24,682
4/7/2016 1:55,C,24,682
4/7/2016 2:55,C,24,181
4/7/2016 3:55,C,23,681
4/7/2016 4:55,C,22,68
4/7/2016 5:55,C,22,18
4/7/2016 6:55,C,21,179
4/7/2016 7:55,C,20,178
4/7/2016 8:55,C,19,677
4/7/2016 9:55,C,19,677
4/7/2016 10:55,C,19,677
4/7/2016 11:55,C,19,677
4/7/2016 12:55,C,19,677
4/7/2016 13:55,C,19,677
